词语	极性
添枝加叶	2
恬不知怪	1
挑三拨四	2
挑脣料嘴	2
铁打心肠	0
铁棒磨成针	1
铁树花开	1
挺而走险	1
通元识微	1
通材达识	1
通时合变	1
通权达理	1
同心一力	1
同心协力	1
同休共戚	1
同流合汙	2
同尘合汙	2
同声相求	1
铜城铁壁	1
铜铸铁浇	1
头一无二	1
头昏脑眩	0
头梢自领	2
头痛额热	2
投卵击石	2
糖衣炮弹	2
逃难	2
陶铸	1
套交情	2
天禀	1
天神	1
天资	1
甜密	1
铁饭碗	1
触目	2
摧枯拉朽	1
村学究语	2
寸长尺技	2
撮科打閧	1
打死虎	2
打富济贫	1
大吆小喝	2
大音希声	1
大智如愚	1
大头小尾	1
代越庖俎	2
戴天履地	1
戴罪立功	0
单刀直入	1
担惊受恐	0
胆大心雄	1
胆粗气壮	1
诞幻不经	2
弹空说嘴	2
刀光血影	2
倒打一耙	2
倒执手版	0
道山学海	1
道东说西	2
道微德薄	2
道殣相属	2
得不偿丧	0
得意扬扬	1
德重恩弘	1
砥柱中流	1
地久天长	1
雕文织采	1
雕虫小巧	2
彫虫篆刻	2
调良稳泛	0
跌宕风流	1
蹀躞不下	2
丢三拉四	2
东方不亮西方亮	1
东床娇婿	1
东游西逛	2
花枪	2
怀鬼胎	2
黄口小儿	2
恍忽	0
回首	0
浑厚	1
骨气	1
呱嗒	2
光蛋	2
遣兴陶情	1
强直自遂	1
强文假醋	2
敲竹槓	2
敲锣打鼓	1
巧偷豪夺	2
嵚崎磊落	1
沁人心肺	1
青钱万选	1
轻生重义	1
轻财仗义	1
轻怜疼惜	1
清风亮节	1
清辞丽曲	0
区闻陬见	2
驱霆策电	1
权变锋出	1
雀目鼠步	2
鹊巢鸠佔	2
让逸竞劳	1
人亡家破	2
人面狗心	2
人喊马嘶	1
忍苦耐劳	1
日旰忘餐	1
日乾夕惕	1
日丽风和	1
柔情侠骨	1
柔肠百转	1
如此而已	2
如拾地芥	1
如汤沃雪	1
如解倒悬	1
如龙似虎	1
儒雅风流	1
入火赴汤	1
入海算沙	2
软谈丽语	1
撒娇撒痴	1
三十而立	1
三台八座	1
三灾六难	2
三纸无驴	2
三跪九叩	1
三臡八菹	1
桑中之喜	2
丧家之狗	2
山上无老虎，猴子称大王	2
山穷水绝	2
讪皮讪脸	2
伤弓之鸟	2
赏不逾时	1
赏贤使能	1
上天入地	1
舍近求远	2
射石饮羽	1
身不遇时	2
身首异地	2
身远心近	1
深仁厚泽	1
深计远虑	1
深情厚意	1
神工鬼力	1
神乎其神	1
神来之笔	1
神眉鬼眼	2
神清气朗	1
神号鬼哭	2
神机鬼械	2
神谟远算	1
尸禄素飡	2
失时落势	2
失魂荡魄	2
刺激	2
从犯	2
粗活	2
错别字	2
打破	2
震惊	0
造化小儿	2
庞眉皓发	0
愁眉啼妆	0
掷果潘安	1
漆身吞炭	1
油头滑脑 	2
衷曲	2
雄姿英发	1
少气无力	2
付之一笑	1
烟视媚行	2
耳根清净	1
舌敝唇焦	2
筋疲力尽	2
头重脚轻	2
清心寡欲	1
不可磨灭	1
落月屋梁	2
畏威怀德	2
弘誓大愿	1
力不胜任	2
无从下手	2
大旱云霓	2
千金买骨	1
延颈举踵	2
神色自若	1
屠门大嚼	1
心荡神迷	2
一则以喜，一则以惧	2
叨在知己	2
抚心自问	2
豪放不羁	1
笑逐颜开	1
无官一身轻	1
轩轩甚得	1
怒火中烧	2
惯愤不平	2
痛定思痛	2
惙怛伤悴	2
宝卷	1
保养	1
报丧	2
暴风雨	2
悲歌	2
背气	2
奔腾	1
崩漏	2
鼻咽癌	2
必得	1
庇佑	1
壁上观	2
边区	1
贬责	2
误事	2
西洋景	2
稀糟	0
洗礼	1
喜剧	0
戏耍	2
细作	0
下第	0
下台	0
先达	1
鲜果	0
闲工夫	0
闲庭	1
嫌隙	0
显扬	0
险滩	0
现行犯	2
偌大	1
洒狗血	2
散落	2
丧礼	2
扫灭	2
瑟瑟	2
傻劲儿	2
姗姗	1
善后	1
赡养	1
伤亡	2
商酌	1
赏阅	1
上房	1
上劲	1
紧绷绷	0
京京	0
久仰	1
改窜	2
寄托	1
嘉肴	1
假托	2
俭约	0
犟劲	1
披麻救火	2
匹马当先	1
飘茵落溷	2
贫贱骄人	2
破卵倾巢	2
破愁为笑	0
剖析肝胆	1
七步之才	1
七窍冒火	2
奇想天开	2
骑牛读汉书	1
骑鹤维扬	2
棋逢敌手	1
杞梓之林	1
气决泉达	1
气满志骄	1
弃邪归正	1
弃义倍信	2
洽博多闻	1
千古绝唱	1
千里姻缘一线牵	0
千灾百难	2
千思万虑	0
千载一圣	1
千头万序	0
迁善去恶	1
牵萝莫补	0
前功尽灭	0
前瞻后顾	2
潜精研思	1
名教	1
名士派	1
明眼人	1
默哀	2
纳福	1
依仗	2
贻误	2
义卖	1
义战	1
意志	1
应付	2
御用	2
元旦	1
元夜	1
原子炸弹	2
援外	1
院士	1
岳父	1
云翳	2
晕车	2
砸饭碗	2
在行	1
糟改	2
增产	1
增殖	2
批郤导窾	1
一蹴而就	1
安堵如故	1
存亡绝续	2
福无双至	2
积羽沉舟	2
首当其冲	2
象齿焚身	2
大白于天下	1
不足为据	2
强颜为笑	2
一无所失	1
百足之虫，死而不僵	2
有钱使得鬼推磨	2
不存芥蒂	1
声应气求	1
三顾茅庐　	1
钻皮出羽	2
击节称赏　	1
强死强活　	2
太丘道广　	1
不弃草昧　	1
海屋添筹　	1
天保九如　	1
螽斯衍庆　	1
未能免俗	2
立足之地	2
月下花前	1
深壁高垒	1
九霄云外	2
朝发夕至	1
千岩竞秀	1
草长莺飞	1
流水桃花	1
纷红骇绿	1
郁郁葱葱 	1
手泽之遗	2
左图右史	1
海市蜃楼	2
污泥浊水	2
喷薄欲出	1
硕大无朋	1
不足	2
裁汰	2
残疾	2
插脚	2
搀和	2
引车卖浆	2
引商刻角	1
饮冰吞檗	1
饮犊上流	1
莺飞草长	0
鹰击长空	1
营私植党	2
郢匠挥斤	1
映雪囊萤	1
雍容典雅	1
优游自適	0
悠游自在	0
游蜂戏蝶	2
游戏翰墨	2
有我无人	2
有气无力	2
有声没气	2
狖轭鼯轩	1
予智予雄	2
余响绕梁	1
鱼水相懽	1
鱼游濠上	1
鱼龙漫衍	2
娱妻弄子	0
逾墙钻穴	2
愚夫蠢妇	2
雨泣云愁	0
雨愁烟恨	0
语言无味	2
玉石不分	2
玉液金浆	0
玉质金相	1
玉关人老	0
遇事生端	2
鬻宠擅权	2
渊渟岳峙	1
元奸巨恶	2
各为其主	2
竭泽而渔	2
糊涂	2
乳臭末干	2
蔽聪塞明	2
有限如盲	2
驽马铅刀	2
庸医杀人	2
寡闻少见	2
浅见	2
坎井之蛙	2
了不长进	2
心闲手敏	1
东张西望	2
大声疾呼	2
指桑骂槐 	2
急起直迫	1
健步如飞	1
因利乘便	1
有以善处	1
删繁就简	1
不折不扣	1
一步一个脚印	1
徒宅忘妻	2
以指挠沸	2
锋芒不露	2
严肃	1
闭目塞听	2
以耳代目	2
一棍子打死	2
扣槃扪烛	2
奉行故事	2
以古非今	2
远求骐骥	1
知白守黑	2
作壁上观	2
落落穆穆	2
萧曹避席	1
芳兰竞体	1
听任	2
大题小做	2
不相闻问杜门谢客	2
了身达命	0
捩手覆羹	2
林籁泉韵	1
伶仃孤苦	2
零丁孤苦	2
另眼相待	1
令原之戚	0
流水落花	1
流星掣电	1
流溺忘反	1
流离颠疐	2
柳眉剔竖	2
柳腰花态	1
柳亸花娇	1
六畜不安	1
六尘不染	0
龙血玄黄	2
龙言凤语	1
龙首豕足	2
龙马精神	1
龙章麟角	1
龙跧虎卧	1
龙盘凤翥	1
龙举云兴	1
龙蟠虎绕	1
龙腾虎啸	1
龙骧虎啸	1
镂冰雕朽	2
镂脂翦楮	2
鲁戈挥日	1
鲁阳挥戈	1
鹿皮苍璧	2
路见不平	1
戮力壹心	1
露胆披诚	1
鸾孤凤只	2
鸾停鹄峙	1
鸾鹄停峙	1
乱坠天花	2
论短道长	2
骆驿不绝	1
闾阎安堵	1
履舄交错	2
麻痹大意	2
马去马归	2
马革盛尸	1
骂天咒地	2
买爵贩官	2
卖主求荣	2
卖官卖爵	2
埋头苦幹	1
谩藏诲盗	2
满脸春风	1
漫天过海	2
盲人说象	2
毛发悚然	2
貌是心非	2
没没无闻	2
没眉没眼	2
每饭不忘	1
门堪罗雀	2
黾穴鸲巢	2
迷而不反	2
迷魂淫魄	2
靡衣偷食	2
靡然顺风	2
柔情密意	1
柔肤弱体	1
如花似月	1
如指诸掌	1
如汤浇雪	1
如意算盘	2
如蹈水火	2
乳臭未除	2
入主出奴	2
入理切情	1
枘圆凿方	2
撒痴撒娇	1
三人成虎	2
三吐三握	1
三长四短	2
三从四德	2
三头八臂	1
三沐三薰	1
桑弧蓬矢	1
丧魂失魄	2
山止川行	1
山穷水断	2
扇风点火	2
伤化败俗	2
赏功罚罪	1
赏贤罚暴	1
韶颜稚齿	1
舍近即远	2
射利沽名	2
身心交瘁	2
身退功成	1
身当矢石	1
深仇宿怨	2
深奸巨猾	2
深惟重虑	1
神工意匠	1
神而明之	1
神来气旺	1
神飞色舞	1
神清气爽	1
神魂飞越	1
神会心融	1
神融气泰	1
神郁气悴	2
尸禄素餐	2
失张失志	2
失精落彩	2
古董	2
故纸堆	2
官话	2
褪套儿	2
托马斯主义	2
脱帽	0
玩儿完	2
亡国	2
忘形	2
微词	2
局高蹐厚	2
踽踽凉凉	1
钜人长德	1
捐身徇义	1
卷席而葬	2
决疣溃痈	2
觉人觉世	2
君子一言，快马一鞭	1
峻宇彫墙	1
开来继往	1
开路先锋	1
侃侃訚訚	1
可泣可歌	1
刻骨崩心	2
孔武有力	1
口耳相传	2
口直心快	1
叩心泣血	2
枯木死灰	1
枯骨生肉	1
刳心雕肾	1
夸父追日	1
快心满意	1
宽怀大度	1
狂三诈四	2
岿然不动	1
廓达大度	1
来者不善，善者不来	2
揽辔澄清	1
狼子兽心	2
狼突豕窜	2
狼餐虎噬	2
狼顾麕惊	2
劳身焦思	2
乐而不荒	1
乐昌分镜	2
乐极悲生	2
乐道遗荣	1
雷令风行	1
磊落豪横	1
冷窗冻壁	2
离世遁上	1
离乡别土	2
离鸾别鹤	2
鲤鱼跳龙门	1
历精更始	1
沥胆抽肠	1
俐齿伶牙	1
连更星夜	1
连枝带叶	1
连宵达旦	2
连篇累帧	2
怜我怜卿	1
敛手屏足	2
脸红筋暴	2
量枘制凿	1
两肩荷口	2
两头三绪	2
辽东豕	2
守口如瓶	1
富贵浮云	1
一介不取	1
以义割恩	1
行不由径	1
落落难合	2
幼学壮行	1
倾耳而听	1
手足重茧	2
前仆后继	1
以一当十	1
猪突豨勇	2
死不足惜	2
布衣蔬食	1
既来之，则安之	1
仁言利博	1
软玉温香	1
人弃我取	2
齐心协力	1
抑强扶弱	1
天下一家	1
锦心绣肠	1
莫测高深	1
升堂入室	1
直谅多闻	1
博洽多闻	1
深思远虑	1
曾经沧海	2
不以为耻	2
威信扫地	2
长袖善舞	2
同恶相求	2
怀春	0
黄灿灿	0
簧舌	2
回禄	0
浑蛋	2
见危致命	1
见风是雨	2
见溺不救	1
见弹求鹗	2
建瓴高屋	1
渐入佳境	1
江山易改，秉性难移	2
江湖骗子	2
讲文张字	1
降颜屈体	1
娇鸾雏凤	1
骄奢淫泆	2
焦眉愁眼	2
角巾私第	2
较若画一	1
衔华佩实	1
洁身自守	1
桀傲不驯	2
截发剉稾	1
解衣般礴	1
借交报仇	2
今日有酒今日醉	1
金丹换骨	1
金石交情	1
金相玉映	1
金瓶落井	2
金台市骏	1
金浆玉醴	1
金镳玉络	1
锦心绣腹	1
锦绣肝肠	1
进可替不	1
进退失措	2
进退狐疑	2
进退无途	2
进退维艰	2
进善黜恶	1
进贤任能	1
进贤兴功	1
祲威盛容	1
惊才绝艳	1
惊心丧魄	2
惊心骇瞩	0
惊采绝艳	1
惊慌无措	2
惊愚骇俗	0
井井有绪	1
景星凤皇	1
胫大於股	2
敬谢不敏	1
镜圆璧合	1
鸠夺鹊巢	2
九衢三市	1
酒食徵逐	2
救灾恤患	1
救黥医劓	1
居利思义	2
志得气盈	1
质伛影曲	2
栉比鳞臻	0
掷地赋声	1
智小谋大	2
中外合璧	0
中流击楫	1
钟鼎之家	0
螽斯衍庆	1
众口纷纭	0
众人国士	0
重气狥名	1
重财轻义	2
周穷卹匮	1
昼日三接	1
骤不及防	2
朱楼绮户	1
诛求无度	2
珠连璧合	1
珠歌翠舞	1
铢两相称	0
铢积锱累	1
逐字逐句	1
逐鹿中原	1
劚山觅玉	1
拄笏看山	1
助桀为恶	2
柱天踏地	1
祝鲠祝饐	1
抓乖卖俏	2
拽巷逻街	0
转败为成	1
壮气凌云	1
追风逐影	1
追根问底	0
追远慎终	1
坠溷飘茵	2
拙嘴笨腮	2
捉衿见肘	2
灼见真知	1
酌水知源	1
酌盈注虚	0
孜孜无怠	1
锱铢较量	2
邹衍谈天	1
足足有余	1
足踏实地	1
祖龙之虐	2
钻穴逾隙	2
钻隙逾墙	2
醉死梦生	2
遵而不失	0
樽前月下	1
左建外易	2
左图右书	1
作舍道边	2
坐上琴心	1
坐失机宜	2
坐卧不安	0
坐运筹策	1
坐筹帷幄	1
做鬼做神	2
凿柱取书	0
哀告	0
爱美的	0
安厝	0
谙练	1
乱坟岗	2
麻痹	2
为虎傅翼	1
孤恩负德	2
如蚁附膻	2
撒娇撤痴	2
贼喊捉贼	2
横眉竖眼	2
为富不仁	2
离经叛道	2
退有后言	2
虚词诡说	2
言行相诡	2
矜功自伐	2
煞有介事	2
耀武扬威	2
贪多务得	2
欲望难填	2
卖李钻核	2
有利可图	2
数米量柴	2
游闲公子	2
无精汀采	2
无影无踪	2
偏信则暗	2
结驷连骑	2
食不厌精，脍不厌细	2
同气相求	2
驷马不追	1
俟河之清	2
松筠之节	1
送抱推襟	1
颂古非今	0
搜岩采幹	1
夙兴夜处	1
隋珠荆璧	1
随行就市	1
随波逐尘	2
随时随地	1
随机应变	1
岁寒松柏	1
碎尸万段	2
碎首糜躯	0
损之又损	2
踏破铁鞋	1
泰山磐石	1
贪生畏死	2
贪财好色	2
谈天论地	1
谈笑封侯	1
檀郎谢女	1
探头探脑	2
堂哉皇哉	1
滔滔不断	1
饕风虐雪	2
桃李不言，下自成行	1
桃来李答	1
讨是寻非	2
梯山栈谷	1
体大思精	1
逷听远闻	1
殢云尤雨	0
天下乌鸦一般黑	2
天打雷劈	2
天年不测	2
天高皇帝远	2
天假其年	1
天经地纬	1
添枝接叶	2
恬不知羞	2
挑三豁四	2
条入叶贯	1
铁石心肝	0
铁砚磨穿	1
铁树开华	1
挺胸凸肚	2
通今达古	1
通幽洞微	1
通时达变	1
通变达权	1
同心一意	1
同心协济	1
同休等戚	1
同敝相济	2
同忧相救	1
同声相应	1
铜脣铁舌	1
偷合苟从	2
头上安头	2
头昏脑胀	0
头痒搔跟	2
头晕目眩	0
投畀豺虎	2
东箭南金	1
动人心魄	0
斗而铸锥	2
豆萁相煎	2
毒泷恶雾	2
独是独非	2
杜口绝言	0
度日如岁	0
断蛟刺虎	1
对症发药	1
顿挫抑扬	1
多凶少吉	0
多谋善虑	1
阿意取容	2
额蹙心痛	0
恶声恶气	2
儿女心肠	1
发短心长	1
凡偶近器	2
返邪归正	1
方桃譬李	1
放刁把滥	2
飞灾横祸	2
飞蛾扑火	0
非驴非马	2
分斤拨两	2
分贫振穷	1
焚林而畋	2
焚琴煮鹤	2
忿不顾身	1
丰功硕德	1
风不鸣条	1
风行水上	1
风雨如磐	2
风木之思	0
风平波息	1
贺表	1
狠命	2
红颜	1
候光	1
花花世界	1
低能儿	2
敌台	0
嫡系	1
抵罪	2
地主阶级	2
掉舌	2
暄腾	0
血案	0
血肿	0
牙龈	0
胭脂	0
苦笑	0
夸口	2
岿然	1
郎当	2
亏空	2
困处	2
抛脸	2
炮舰政策	2
跑反	0
跑堂儿的	0
陪伴	1
培育	1
赔小心	0
朋友	1
碰劲儿	0
纰缪	0
皮包骨	0
貔貅	1
偏方	0
偏食	2
骈枝	2
飘忽	0
飘悠	1
拼命	0
品评	0
平复	0
平民	0
平顺	0
凭吊	0
凭证	0
萍踪	0
种花	1
重兵	0
重托	1
轴心国	1
竹林七贤	1
逐客令	2
主角	0
主要矛盾	0
助兴	1
抓茬儿	2
转托	0
妆饰	1
壮胆	0
追悼	1
追叙	1
惴惴	2
拙荆	1
着忙	1
抢地呼天	2
强弩之极	2
强文浉醋	2
敲冰求火	2
敲锣放砲	1
巧发奇中	1
嵚崎历落	1
沁人心腑	1
青钱学士	1
轻死重气	1
轻财好士	1
轻怜痛惜	1
清风峻节	1
情深一往	1
曲意迎合	2
曲高和寡	1
全能全智	1
确固不拔	1
鹊巢鸠居	2
惹事生非	2
人心不古	2
人莫予毒	2
人间重晚晴	1
刃迎缕解	1
日角珠庭	1
日落西山	2
日丽风清	1
歉仄	0
抢白	2
跷蹊	2
巧劲儿	1
切磋	1
窃窃	2
亲事	0
亲炙	1
钦迟	1
青紫	0
倾听	0
清明	1
情感	0
情人	1
情绪	0
请命	1
穷措大	0
囚车	0
求救	0
曲折	0
取胜	1
无精打彩	0
舞文饰智	2
析肝刿胆	1
惜指失掌	2
嘻笑怒骂	2
洗心涤虑	1
喜见於色	1
霞思云想	0
夏虫语冰	2
先意承颜	2
鲜车健马	1
闲神野鬼	2
弦无虚发	1
衒玉自售	2
显祖扬名	1
乡壁虚造	2
享帚自珍	0
橡茹藿歠	2
鸮啼鬼啸	0
小丑跳梁	2
效死输忠	1
胁肩絫足	0
心如刀剉	2
心花怒发	1
心神不宁	2
心乡往之	1
心慌意急	2
心殒胆落	2
心凝形释	1
心惊胆寒	2
信及豚鱼	1
兴高彩烈	1
熟谙	0
耍子	2
良机	1
两面派	1
列强	2
流芳	1
流血	0
丑婆子	2
蹙蹙靡骋	2
摧锋陷阵	1
寸土尺金	1
寸辖制轮	1
达官要人	1
打破砂锅问到底	1
打鸡骂狗	2
大直若诎	1
大展宏图	1
大煞风景	2
呆似木鸡	2
带减腰围	1
戴高帽兒	2
戴鸡佩豚	1
单忧极瘁	0
殚精极虑	1
胆小如豆	2
胆寒发竖	2
淡水交情	1
党同伐异	2
岛瘦郊寒	0
倒持戈矛	2
蹈赴汤火	1
道同契合	1
道高魔重	1
道尽涂殚	0
道听耳食	2
得步进步	2
德隆望尊	1
低头哈腰	2
砥厉廉隅	1
刁钻促狭	1
雕章缛彩	1
雕虫末伎	2
钓名要誉	2
调嘴调舌	2
跌荡不拘	1
顶踵捐糜	1
丢魂丢魄	2
东抄西袭	2
东家效颦	2
东诓西骗	2
逃奔	2
逃亡	2
讨教	1
提倡	1
天国	1
天晓得	2
田园	1
条理	1
跼天蹐地	2
拒人千里	2
距人千里	2
捐残去杀	2
撧耳揉腮	2
决断如流	1
撅坑撅堑	2
君子之接如水	1
开口见心	1
开门延盗	2
开锣喝道	2
慷慨悲歌	2
克伐怨欲	2
刻雾裁风	1
控名责实	1
口如悬河	2
口沸目赤	1
扣壶长吟	2
枯本竭源	2
枯鱼病鹤	2
刳胎杀夭	2
胯下蒲伏	2
宽仁大度	1
款学寡闻	2
狂朋恠友	2
溃兵游勇	2
拉大旗作虎皮	2
来者居上	1
烂漫天真	1
狼羊同饲	2
狼狈周章	2
狼嚎鬼叫	2
浪迹萍踪	2
劳筋苦骨	2
乐而不厌	1
乐往哀来	2
乐嗟苦咄	2
乐业安居	1
雷惊电绕	1
磊落轶荡	1
离本依末	2
离乡背土	2
犁庭扫穴	1
力排众议	1
利灾乐祸	2
沥胆堕肝	1
轹釜待炊	2
连更晓夜	1
连明达夜	2
连理分枝	2
连篇絫牍	2
怜贫恤老	1
敛声屏息	1
脸无人色	2
量凿正枘	1
两面二舌	2
量力而行	1
寥寥无几	1
爱惜羽毛	1
临深履薄	2
饮马投钱	1
毫不利已，专门利人	1
舍己从人	1
大事不糊涂	1
超然物外	1
正义凛然	1
只争朝夕	1
引锥刺股	1
默默无言	1
杀敌致果	1
万夫不当	1
至大至刚	1
粗衣淡饭	1
食不重昧	1
绳趋尺步	1
万家生佛	1
温润而泽	1
通力合作	1
治病救人	1
同呼吸，共命运	1
心照神交	1
才貌双全	1
风华绝代	1
巧同造化	1
新硎初试	1
着手成春	1
三个臭皮匠，合成一个葛亮	1
过目成诵	1
便宜行事	2
眉头一皱，计上心来	1
驾轻就熟	1
老成见到	1
惹草拈花	2
貂裘换酒	2
一唱一和	2
强压	2
悄没声儿	0
巧合	0
翘辫子	2
且慢	0
亲身	0
亲政	0
侵蚀作用	0
青眼	1
倾动	1
清减	0
情调	1
情侣	1
情味	1
顷刻	0
穷愁	0
秋波	0
求婚	0
求人	0
取得	0
手重	2
耍钱	2
爽朗	1
无独有偶	2
夕惕若厉	1
析律舞文	2
犀照牛渚	1
嬉笑怒骂，皆成文章	1
洗垢求瑕	2
隙穴之窥	1
下陵上替	2
仙姿玉质	1
掀天斡地	1
闲愁万种	0
闲情逸趣	1
涎言涎语	2
嫌好道恶	2
显亲扬名	1
相待如宾	1
向若而叹	1
枭蛇鬼怪	2
宵鱼垂化	1
小黠大痴	2
邪门歪道	2
心不应口	2
心如止水	1
心服口服	0
心浮气粗	2
心雄万夫	1
心寒胆战	2
心满原足	1
心旷神飞	1
欣欣自得	1
兴妖作乱	2
惺惺相惜	1
哭穷	2
款曲	1
赖帐	2
亏本	1
馈赠	1
披毛求疵	2
披沥肝胆	1
片甲不回	2
飘樊落溷	2
贫嘴薄舌	2
破柱求奸	1
剖心坼肝	1
曝骨履肠	2
七贞九烈	1
欺君罔上	2
其势汹汹	2
骑鹤上扬州	2
骑驴索句	1
乞穷俭相	2
气血方刚	1
气急败丧	2
气断声吞	2
弃家荡产	2
弃旧怜新	2
千人所指	2
千羊之皮，不如一狐之腋	1
千里莼羹	1
千金一壸	1
千姿万态	0
千愁万恨	0
迁臣逐客	2
迁善黜恶	1
谦尊而光	1
前门去虎，后门进狼	0
潜光匿曜	1
不中	2
裁处	2
残废	2
藏掖	2
搀扶	1
依违	0
贻害	2
义举	1
义勇军	1
益鸟	1
应点	1
御侮	1
渊海	1
元宵节	1
原子武器	2
援手	1
怨望	2
月下老人	1
云冈石窟	1
运气	1
杂霸	2
在望	1
遭遇	2
贼脏	2
增援	1
举手之劳	1
探囊取物	1
枕席过师	1
鼎鱼幕燕	2
凶多吉少	2
和气致祥	1
祸福无门	2
山高水低	2
陷身囹圄	2
外强中干	2
捷报频传	1
一举成名	1
前事不忘，后事之师	1
直木先伐	2
心到神知	1
奉头鼠窜	2
世风日下	2
自用则小	2
避让贤路	1
门不停宾	1
入境问禁，入国问俗	1
扶危济困　	1
千呼万唤　	2
守望相助　	1
备位充数　	2
公门桃李　	1
竖子成名　	2
英雄所见略同　	1
繁文缛节　	2
列风淫雨	2
月明千里	2
深沟高垒	1
阳关大道	1
一衣带水	1
水色山光	1
月夕花朝	1
丹楹刻桷	1
一草一木	2
敲金击石	1
剖腹藏珠	2
团团转	2
食少事烦	2
民怨	2
名流	1
名物	1
磨洋工	2
木讷	2
耐劳	1
仲裁	0
重活	0
重镇	1
诸位	1
烛照	1
主观能动性	0
主权	1
住手	0
著作	1
转脸	2
转正	0
装腔	2
追逼	2
追述	1
追踪	1
准予	1
着力	1
哀鸿遍地	0
蔼然仁者	1
爱富嫌贫	2
爱日惜力	1
碍口识羞	0
安分知足	1
安心落意	1
安身为乐	1
安闲自在	0
暗箭伤人	2
昂昂自若	1
昂然自得	1
傲然屹立	1
鳌掷鲸吞	1
八珍玉食	1
巴巴结结	1
拔苗助长	2
跋扈飞扬	2
白发千丈	0
白首之心	1
百弊丛生	2
百花齐放	1
百身莫赎	0
摆袖却金	1
败俗伤风	2
班香宋艳	1
半上落下	2
帮虎吃食	2
薄唇轻言	2
保盈持泰	1
抱玉握珠	1
抱朴含真	1
豹死留皮	1
卑谄足恭	2
杯影蛇弓	2
悲声载道	0
背义忘恩	2
背井离乡	1
本枝百世	1
比屋可封	1
眩晕	0
血泪	0
殉节	0
哑巴亏	0
志广才疏	2
炙鸡渍酒	1
栉垢爬痒	0
智者见智，仁者见仁	0
鸷鸟累百，不如一鹗	1
中原逐鹿	1
钟鼓馔玉	0
踵足相接	0
众毛攒裘	0
众说纷纭	0
重气轻命	2
种瓜得瓜，种豆得豆	1
诪张为幻	2
昼吟宵哭	0
朱脣玉面	1
朱轮华毂	1
诛尽杀绝	2
珠围翠拥	1
珠联玉映	1
铢施两较	2
猪朋狗友	2
逐物不还	2
逐新趣异	1
主一无適	1
煮粥焚须	1
杼柚之空	2
祝咽祝哽	1
铸木镂冰	2
抓破面皮	2
专欲难成	2
转战千里	0
追亡逐北	0
追风摄景	1
追根溯源	0
追懽卖笑	2
谆谆不倦	1
卓然不群	1
捉衿露肘	2
斫琱为朴	1
酌古准今	0
擢筋剥肤	2
兹事体大	1
龇牙裂嘴	0
足不出户	2
足食足兵	1
足茧手胝	0
钻山塞海	0
钻穴逾墙	2
钻懒帮閒	2
醉翁之意不在酒	0
遵时养晦	0
左支右吾	2
左家娇女	1
佐饔得尝	1
作奸犯罪	2
坐井窥天	2
坐而待弊	2
坐卧针氈	0
坐拥书城	1
座无虚席	1
做刚做柔	0
凿饮耕食	1
哀启	0
爱人	1
安身	0
按期	1
反面无情	2
庸言庸行	2
脏心烂肺	2
和光同尘	1
谋财害命	2
率兽食人	2
叛逆	2
故作高深	2
闪烁其辞	2
自卖自夸	2
假相	2
正人君子	1
言而无情	2
骄傲	2
炫耀	2
放荡不羁	2
前倨后恭	2
一钱如命	2
坐地分脏	2
不稼不穑	2
知难而退	1
不坚定	2
日食万钱	2
一掷百万	2
蹇蹇匪躬	1
见风使帆	2
见义敢为	1
见德思齐	1
建功立事	1
剑胆琴心	1
江山好改，本性难移	2
江淹才尽	2
浆水不交	1
降尊纡贵	1
浇淳散朴	2
骄奢放逸	2
焦思苦虑	2
焦脣乾肺	2
狡焉思肆	2
衔石填海	1
洁己奉公	1
桀贪骜诈	2
截趾適履	2
解衣包火	2
解黏去缚	1
斤斤较量	2
金口玉音	1
金石可开	1
金城千里	1
金刚怒目	1
金碧荧煌	1
金辉玉洁	1
金璧辉煌	1
谨终慎始	1
锦篇绣帙	1
锦囊还矢	1
进退可度	1
进退迍邅	2
进退无依	2
进退路穷	2
进旅退旅	1
进种善群	1
进贤进能	1
进锐退速	2
惊才风逸	1
惊心眩目	2
惊心骇目	2
惊肉生髀	2
惊喜交集	1
惊魂夺魄	2
井井有序	1
井管拘墟	2
京兆眉妩	1
敬贤下士	1
镜分鸾凤	2
鸠佔鹊巢	2
九阍虎豹	2
酒虎诗龙	1
救火拯溺	1
救燎助薪	2
居安资深	1
局天扣地	2
乱麻麻	2
马糊	2
正义感	1
至毒	2
志喜	1
鹰扬虎视	1
雍容雅步	1
褎如充耳	2
蝶粉蜂黄	1
鬓乱钗横	2
视丹如绿	2
饥肠辘辘	2
迷头认影	2
龙吟虎啸	1
人去楼空	2
悬肠挂肚	2
黄粱美梦	1
思深忧远	2
跋前踬后	2
无可奈何	2
不知轻重	2
何乐不为	1
不平则鸣	1
急于求成	2
引领而望	2
泰然处之	1
中心摇摇	2
只可意会，不可言传	1
魂不守舍	2
新婚宴尔	1
得意洋洋	1
自我陶醉	1
竖起脊梁	1
揎拳捋袖	2
怏怏不乐	2
万箭攒心	2
五内俱焚	2
复仇	0
饱雨	1
保障	1
抱病	2
暴举	2
悲剧	2
背债	2
奔突	2
崩塌	2
比及	1
必然	1
辟邪	1
避讳	2
鞭策	1
东捞西摸	2
东闯西踱	2
洞如观火	1
斗挹箕扬	2
都俞吁咈	1
独出新裁	1
睹始知终	1
杜渐除微	0
断长续短	1
